iter	Passed	Remaining
612	2470	1559
613	2473	1555
614	2477	1550
615	2481	1547
616	2484	1542
617	2488	1537
618	2492	1534
619	2497	1530
620	2501	1526
621	2505	1522
622	2509	1518
623	2512	1513
624	2515	1509
625	2519	1505
626	2523	1501
627	2526	1496
628	2530	1492
629	2535	1489
630	2539	1485
631	2543	1480
632	2546	1476
633	2549	1471
634	2552	1467
635	2555	1462
636	2559	1458
637	2563	1454
638	2568	1450
639	2572	1446
640	2575	1442
641	2579	1438
642	2584	1434
643	2588	1431
644	2592	1426
645	2595	1422
646	2597	1417
647	2601	1413
648	2604	1408
649	2607	1404
650	2616	1402
651	2620	1398
652	2630	1397
653	2634	1393
654	2637	1389
655	2640	1384
656	2644	1380
657	2647	1376
658	2650	1371
659	2653	1366
660	2656	1362
661	2659	1358
662	2663	1353
663	2666	1349
664	2670	1345
665	2674	1341
666	2678	1337
667	2681	1332
668	2684	1328
669	2688	1324
670	2691	1319
671	2694	1315
672	2697	1310
673	2700	1306
674	2703	1301
675	2707	1297
676	2710	1293
677	2715	1289
678	2720	1286
679	2724	1281
680	2728	1277
681	2731	1273
682	2734	1269
683	2737	1264
684	2740	1260
685	2743	1255
686	2747	1251
687	2750	1247
688	2753	1242
689	2757	1239
690	2762	1235
691	2766	1231
692	2769	1227
693	2775	1223
694	2782	1220
695	2785	1216
696	2788	1212
697	2792	1208
698	2795	1203
699	2802	1200
700	2810	1198
701	2815	1195
702	2820	1191
703	2826	1188
704	2831	1184
705	2834	1180
706	2837	1176
707	2841	1171
708	2844	1167
709	2849	1164
710	2854	1160
711	2858	1156
712	2861	1151
713	2864	1147
714	2868	1143
715	2871	1139
716	2874	1134
717	2878	1130
718	2881	1126
719	2884	1121
720	2887	1117
721	2890	1113
722	2895	1109
723	2900	1105
724	2904	1101
725	2908	1097
726	2911	1093
727	2914	1089
728	2917	1084
729	2921	1080
730	2924	1076
731	2928	1072
732	2931	1067
733	2935	1063
734	2940	1060
735	2944	1056
736	2947	1051
737	2951	1047
738	2956	1044
739	2960	1040
740	2964	1036
741	2967	1031
742	2971	1027
743	2974	1023
744	2977	1019
745	2981	1015
746	2987	1011
747	2992	1008
748	2997	1004
749	3000	1000
750	3003	995
751	3006	991
752	3010	987
753	3013	983
754	3016	978
755	3019	974
756	3022	970
757	3026	966
758	3031	962
759	3034	958
760	3039	954
761	3044	950
762	3048	947
763	3053	943
764	3058	939
765	3061	935
766	3064	931
767	3069	927
768	3073	923
769	3079	919
770	3083	915
771	3087	911
772	3092	908
773	3096	904
774	3101	900
775	3104	896
776	3110	892
777	3114	888
778	3122	885
779	3128	882
780	3134	879
781	3138	874
782	3141	870
783	3145	866
784	3148	862
785	3151	858
786	3154	853
787	3158	849
788	3163	846
789	3167	841
790	3172	838
